"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"28109_700",1,292069336,"James-Watt-Str.","415001",0,,512,1,0
"28109_700",2,292779941,"James-Watt-Str.","415002",0,,512,1,0
"28109_700",1,292069316,"James-Watt-Str.","415003",0,,512,1,0
"28109_700",1,292069299,"James-Watt-Str.","415005",0,,512,1,0
"28109_700",2,292779967,"James-Watt-Str.","415006",0,,512,1,0
"28109_700",1,292069340,"James-Watt-Str.","415007",0,,512,1,0
"28109_700",2,292779953,"James-Watt-Str.","415008",0,,512,1,0
"28109_700",1,292069338,"James-Watt-Str.","415009",0,,512,1,0
"28109_700",2,292779951,"James-Watt-Str.","415010",0,,512,1,0
"28109_700",1,292069335,"James-Watt-Str.","415011",0,,512,1,0
"28109_700",2,292779907,"James-Watt-Str.","415012",0,,514,1,0
"28109_700",1,292069334,"James-Watt-Str.","415013",0,,512,1,0
"28109_700",2,292779947,"James-Watt-Str.","415014",0,,512,1,0
"28109_700",1,292069332,"James-Watt-Str.","415015",0,,512,1,0
"28109_700",1,292069331,"James-Watt-Str.","415017",0,,512,1,0
"28109_700",1,292069330,"James-Watt-Str.","415019",0,,512,1,0
"28109_700",1,292069329,"James-Watt-Str.","415021",0,,512,1,0
"28109_700",1,292069328,"James-Watt-Str.","415023",0,,512,1,0
"28109_700",1,292069326,"James-Watt-Str.","415025",0,,512,1,0
"28109_700",1,292069325,"James-Watt-Str.","415027",0,,512,1,0
"28109_700",1,292069324,"James-Watt-Str.","415029",0,,512,1,0
"28109_700",1,292069323,"James-Watt-Str.","415031",0,,512,1,0
"28109_700",1,292069322,"James-Watt-Str.","415033",0,,512,1,0
"28109_700",1,292069321,"James-Watt-Str.","415035",0,,512,1,0
"28109_700",1,292069320,"James-Watt-Str.","415037",0,,512,1,0
"28109_700",1,292069319,"James-Watt-Str.","415039",0,,512,1,0
"28109_700",1,292069318,"James-Watt-Str.","415041",0,,512,1,0
"28109_700",1,292069317,"James-Watt-Str.","415043",0,,512,1,0
"28109_700",1,292069315,"James-Watt-Str.","415045",0,,512,1,0
"28109_700",1,292069314,"James-Watt-Str.","415047",0,,512,1,0
"28109_700",1,292069313,"James-Watt-Str.","415049",0,,512,1,0
"28109_700",1,292069312,"James-Watt-Str.","415051",0,,512,1,0
"28109_700",1,292069311,"James-Watt-Str.","415053",0,,512,1,0
"28109_700",1,292069310,"James-Watt-Str.","415055",0,,512,1,0
"28109_700",1,292069309,"James-Watt-Str.","415057",0,,512,1,0
"28109_700",1,292069308,"James-Watt-Str.","415059",0,,512,1,0
"28109_700",3,292779921,"James-Watt-Str.","415061",0,,512,1,0
"28109_700",3,292779920,"James-Watt-Str.","415063",0,,512,1,0
"28109_700",3,292779919,"James-Watt-Str.","415065",0,,512,1,0
"28109_700",3,292779918,"James-Watt-Str.","415067",0,,512,1,0
"28109_700",3,292779917,"James-Watt-Str.","415069",0,,512,1,0
"28109_700",3,292779916,"James-Watt-Str.","415073",0,,512,1,0
"28109_700",3,292779915,"James-Watt-Str.","415075",0,,512,1,0
"28109_700",3,292779914,"James-Watt-Str.","415077",0,,512,1,0
"28109_700",3,292779912,"James-Watt-Str.","415079",0,,512,1,0
"28109_700",3,292779911,"James-Watt-Str.","415081",0,,512,1,0
"28109_700",3,292779910,"James-Watt-Str.","415083",0,,512,1,0
"28109_700",3,292779909,"James-Watt-Str.","415085",0,,512,1,0
"28109_700",3,292779908,"James-Watt-Str.","415087",0,,512,1,0
"28109_700",3,292779971,"James-Watt-Str.","415091",0,,512,1,0
"28109_700",3,292779970,"James-Watt-Str.","415093",0,,512,1,0
"28109_700",3,292779969,"James-Watt-Str.","415097",0,,512,1,0
"28109_700",3,292779968,"James-Watt-Str.","415099",0,,512,1,0
"28109_700",3,292779966,"James-Watt-Str.","415101",0,,512,1,0
"28109_700",3,292779965,"James-Watt-Str.","415103",0,,512,1,0
"28109_700",3,292779964,"James-Watt-Str.","415105",0,,512,1,0
"28109_700",3,292779963,"James-Watt-Str.","415107",0,,512,1,0
"28109_700",3,292779962,"James-Watt-Str.","415109",0,,512,1,0
"28109_700",3,292779961,"James-Watt-Str.","415111",0,,512,1,0
"28109_700",3,292779960,"James-Watt-Str.","415113",0,,512,1,0
"28109_700",3,292779959,"James-Watt-Str.","415115",0,,512,1,0
"28109_700",3,292779958,"James-Watt-Str.","415117",0,,512,1,0
"28109_700",3,292779957,"James-Watt-Str.","415119",0,,512,1,0
"28109_700",3,292779956,"James-Watt-Str.","415121",0,,512,1,0
"28109_700",3,292779955,"James-Watt-Str.","415123",0,,512,1,0
"28109_700",2,292779906,"Fürstenwalde, O-Lilienthal-Str/EinkaufszentrumNord","415001",1,,515,1,0
"28109_700",1,292069286,"Bahnhof","415002",1,,513,1,0
"28109_700",2,292779871,"Bahnhof","415003",1,,513,1,0
"28109_700",1,292069271,"Bahnhof","415004",1,,513,1,0
"28109_700",2,292779860,"Bahnhof","415005",1,,513,1,0
"28109_700",1,292069291,"Bahnhof","415006",1,,513,1,0
"28109_700",2,292779877,"Bahnhof","415007",1,,513,1,0
"28109_700",1,292069290,"Bahnhof","415008",1,,513,1,0
"28109_700",2,292779876,"Bahnhof","415009",1,,513,1,0
"28109_700",1,292069289,"Bahnhof","415010",1,,513,1,0
"28109_700",2,292779875,"Bahnhof","415011",1,,513,1,0
"28109_700",1,292069288,"Bahnhof","415012",1,,513,1,0
"28109_700",2,292779874,"Bahnhof","415013",1,,513,1,0
"28109_700",1,292069287,"Bahnhof","415014",1,,513,1,0
"28109_700",2,292779873,"Bahnhof","415015",1,,513,1,0
"28109_700",1,292069285,"Bahnhof","415016",1,,513,1,0
"28109_700",2,292779872,"Bahnhof","415017",1,,513,1,0
"28109_700",1,292069284,"Bahnhof","415018",1,,513,1,0
"28109_700",1,292069283,"Bahnhof","415020",1,,513,1,0
"28109_700",1,292069282,"Bahnhof","415022",1,,513,1,0
"28109_700",1,292069281,"Bahnhof","415024",1,,513,1,0
"28109_700",1,292069280,"Bahnhof","415026",1,,513,1,0
"28109_700",1,292069279,"Bahnhof","415028",1,,513,1,0
"28109_700",1,292069278,"Bahnhof","415030",1,,513,1,0
"28109_700",1,292069277,"Bahnhof","415032",1,,513,1,0
"28109_700",1,292069276,"Bahnhof","415034",1,,513,1,0
"28109_700",1,292069275,"Bahnhof","415036",1,,513,1,0
"28109_700",1,292069274,"Bahnhof","415038",1,,513,1,0
"28109_700",1,292069273,"Bahnhof","415040",1,,513,1,0
"28109_700",1,292069272,"Bahnhof","415042",1,,513,1,0
"28109_700",3,292779870,"Bahnhof","415044",1,,513,1,0
"28109_700",3,292779869,"Bahnhof","415046",1,,513,1,0
"28109_700",3,292779868,"Bahnhof","415048",1,,513,1,0
"28109_700",3,292779867,"Bahnhof","415050",1,,513,1,0
"28109_700",3,292779866,"Bahnhof","415052",1,,513,1,0
"28109_700",3,292779865,"Bahnhof","415054",1,,513,1,0
"28109_700",3,292779864,"Bahnhof","415056",1,,513,1,0
"28109_700",3,292779863,"Bahnhof","415060",1,,513,1,0
"28109_700",3,292779862,"Bahnhof","415062",1,,513,1,0
"28109_700",3,292779861,"Bahnhof","415064",1,,513,1,0
"28109_700",4,292779859,"Bahnhof","415068",1,,513,1,0
"28109_700",3,292779858,"Bahnhof","415070",1,,513,1,0
"28109_700",3,292779857,"Bahnhof","415072",1,,513,1,0
"28109_700",3,292779856,"Bahnhof","415074",1,,513,1,0
"28109_700",3,292779855,"Bahnhof","415076",1,,513,1,0
"28109_700",3,292779854,"Bahnhof","415078",1,,513,1,0
"28109_700",3,292779853,"Bahnhof","415080",1,,513,1,0
"28109_700",3,292779852,"Bahnhof","415082",1,,513,1,0
"28109_700",3,292779851,"Bahnhof","415084",1,,513,1,0
"28109_700",3,292779850,"Bahnhof","415086",1,,513,1,0
"28109_700",3,292779884,"Bahnhof","415090",1,,513,1,0
"28109_700",3,292779883,"Bahnhof","415092",1,,513,1,0
"28109_700",3,292779882,"Bahnhof","415094",1,,513,1,0
"28109_700",3,292779881,"Bahnhof","415096",1,,513,1,0
"28109_700",3,292779880,"Bahnhof","415098",1,,513,1,0
"28109_700",3,292779879,"Bahnhof","415100",1,,513,1,0
"28109_700",3,292779878,"Bahnhof","415102",1,,513,1,0
"27544_700",5,292779323,"Ausflugslinie Schlaubetal","344001",0,,508,0,0
"27544_700",5,292779322,"Bremsdorf, B 246","344003",0,,507,0,0
"27544_700",5,292779321,"Ausflugslinie Schlaubetal","344005",0,,506,0,0
"27544_700",5,292779320,"Ausflugslinie Schlaubetal","344007",0,,506,0,0
"27544_700",5,292779319,"Ausflugslinie Schlaubetal","344002",1,,511,0,0
"27544_700",5,292779318,"Ausflugslinie Schlaubetal","344004",1,,509,0,0
"27544_700",5,292779317,"Ausflugslinie Schlaubetal","344006",1,,510,0,0
"27544_700",5,292779316,"Ausflugslinie Schlaubetal","344008",1,,510,0,0
"27317_700",6,288589506,"Königs Wusterhausen","733024",0,,505,1,0
"27317_700",7,292781101,"Königs Wusterhausen","733024",0,9352,505,1,0
"27316_700",2,292781100,"Bindow","722001",0,,503,1,0
"27316_700",2,292781098,"Bindow","722003",0,,503,1,0
"27316_700",2,292781097,"Bindow","722005",0,,503,1,0
"27316_700",2,292781096,"Bindow","722007",0,,503,1,0
"27316_700",1,288589504,"Bindow","722063",0,,503,1,0
"27316_700",2,292781095,"Königs Wusterhausen","722002",1,,504,1,0
"27316_700",2,292781094,"Königs Wusterhausen","722004",1,,504,1,0
"27316_700",2,292781093,"Königs Wusterhausen","722006",1,,504,1,0
"27316_700",2,292781092,"Königs Wusterhausen","722008",1,,504,1,0
"27316_700",1,288589496,"Königs Wusterhausen","722060",1,,504,1,0
"27315_700",6,292070465,"Eisenhüttenstadt Bahnhof","464007",0,6654,499,1,0
"27315_700",6,292070464,"Eisenhüttenstadt Bahnhof","464005",0,6663,498,1,0
"27315_700",6,292070467,"Eisenhüttenstadt Bahnhof","464001",0,6664,496,1,0
"27315_700",6,292070466,"Eisenhüttenstadt Bahnhof","464003",0,6671,499,1,0
"27315_700",6,292070461,"Eisenhüttenstadt Bahnhof","464009",0,6672,497,1,0
"27315_700",6,292070462,"Eisenhüttenstadt Bahnhof","464013",0,6676,497,1,0
"27315_700",6,292070463,"Eisenhüttenstadt Bahnhof","464011",0,6677,497,1,0
"27315_700",7,292781088,"Eisenhüttenstadt Bahnhof","464007",0,9526,499,1,0
"27315_700",7,292781087,"Eisenhüttenstadt Bahnhof","464005",0,9536,498,1,0
"27315_700",7,292781090,"Eisenhüttenstadt Bahnhof","464001",0,9537,496,1,0
"27315_700",7,292781089,"Eisenhüttenstadt Bahnhof","464003",0,9544,499,1,0
"27315_700",7,292781084,"Eisenhüttenstadt Bahnhof","464009",0,9545,497,1,0
"27315_700",7,292781085,"Eisenhüttenstadt Bahnhof","464013",0,9549,497,1,0
"27315_700",7,292781086,"Eisenhüttenstadt Bahnhof","464011",0,9550,497,1,0
"27315_700",6,292070451,"Fünfeichen, Schule","464008",1,6668,501,1,0
"27315_700",6,292070452,"Fünfeichen, Schule","464016",1,6669,501,1,0
"27315_700",6,292070453,"Fünfeichen, Schule","464012",1,6670,501,1,0
"27315_700",6,292070454,"Müllrose, Jahnstr.","464004",1,6671,500,1,0
"27315_700",6,292070455,"Müllrose, Markt","464006",1,6672,502,1,0
"27315_700",6,292070456,"Müllrose, Markt","464002",1,6673,502,1,0
"27315_700",6,292070457,"Müllrose, Markt","464020",1,6674,502,1,0
